Year,Country,Population density,Urban population,Urban population growth,Population living in slums,Rural population,Rural population growth,People using safely managed sanitation services rural,People using at least basic sanitation services,People using at least basic sanitation services rural,People using at least basic sanitation services urban
2000,Niger,9.086310887,16.186,3.981270272,70.03805,83.814,3.368184328,1.231805414,5.519397609,1.91478062,24.18474803
2000,Nigeria,138.7644455,34.84,4.224815881,74.10729,65.16,1.855172454,22.17645507,27.9946356,27.84955347,28.26597979
2000,Cameroon,31.54710287,45.542,3.954526508,65.3638,54.458,1.540660432,..,38.29631919,24.52661298,54.76179534
2000,Chad,6.759921379,21.637,3.611530094,91.58375,78.363,3.416750467,5.669827333,9.692674302,6.100607781,22.70210711
2000,Benin,64.04415573,38.333,3.909687421,71.86569,61.667,2.562303495,0.444573882,8.605667005,2.223545434,18.87270421
2001,Niger,9.410789453,16.26,3.964903646,..,83.74,3.420461518,1.4958188,6.026104095,2.318252838,25.1217677
2001,Nigeria,142.5854991,35.669,5.06797646,..,64.331,1.435980229,22.10495485,28.03390811,27.79539009,28.46408743
2001,Cameroon,32.38664297,46.139,3.928804609,..,53.861,1.524111701,..,38.33013034,24.26991094,54.74352376
2001,Chad,6.991839263,21.67,3.525632808,..,78.33,3.331120184,5.634952991,9.775113768,6.068174501,23.17449201
2001,Benin,66.0304718,38.65,3.877930875,..,61.35,2.538970062,0.495819813,9.004247526,2.483464741,19.35483043
2002,Niger,9.749067656,16.255,3.500718625,70.09604,83.745,3.537453137,1.759832185,6.51516459,2.721725055,26.05878738
2002,Nigeria,146.5485128,36.508,5.066416158,71.59477,63.492,1.428698608,22.31842154,28.68634733,28.10001438,29.70605551
2002,Cameroon,33.26675552,46.738,3.9711345,62.0946,53.262,1.562904164,..,38.36740331,24.0132089,54.72525218
2002,Chad,7.239669632,21.702,3.630736521,90.45647,78.298,3.44233595,5.606778888,9.857710031,6.03574122,23.64687692
2002,Benin,68.06869457,39.036,4.033845376,71.47241,60.964,2.408952968,0.549346968,9.425228797,2.75501528,19.84235381
2003,Niger,10.10261625,16.251,3.537690135,..,83.749,3.567048545,2.02384557,7.004409852,3.125197273,26.99580706
2003,Nigeria,150.6446677,37.356,5.052947798,..,62.644,1.412134298,22.54423709,29.35925914,28.40323764,30.96245352
2003,Cameroon,34.18658374,47.338,4.00306011,..,52.662,1.594565237,..,38.59076542,23.92279641,54.90840561
2003,Chad,7.534810197,21.735,4.147774521,..,78.265,3.953644706,5.578604785,9.940810512,6.00330794,24.11926182
2003,Benin,70.17621497,39.536,4.321936231,..,60.464,2.22566581,0.605155346,9.87676966,3.03819705,20.33527435
2004,Niger,10.47275282,16.247,3.57360849,70.15403,83.753,3.603029695,2.279084876,7.493612797,3.528669491,27.93282673
2004,Nigeria,154.8766922,38.212,5.036145129,69.08224,61.788,1.394666501,22.77272247,30.05326384,28.70505987,32.23328145
2004,Cameroon,35.13885257,47.94,4.011093226,58.8254,52.06,1.59770007,..,38.81609736,23.82879022,55.09142449
2004,Chad,7.878046379,21.768,4.606300309,89.32919,78.232,4.412469931,5.550430682,10.02424456,5.970874659,24.59164672
2004,Benin,72.3580525,40.039,4.325986217,71.07914,59.961,2.226336842,0.663244948,10.34006776,3.33301005,20.83359204
2005,Niger,10.85986579,16.242,3.598955108,..,83.758,3.635667961,2.497579523,7.997902758,3.891516324,29.17403445
2005,Nigeria,159.2248899,39.074,4.999601322,..,60.926,1.363918521,22.99982001,30.76891368,29.00548107,33.51853932
2005,Cameroon,36.12065325,48.541,4.001605562,..,51.459,1.594576812,..,39.04253582,23.73119033,55.27430883
2005,Chad,8.202106099,21.801,4.182590232,..,78.199,3.988908521,5.522256579,10.10801121,5.938441378,25.06403162
2005,Benin,74.72635686,40.543,4.471530021,..,59.457,2.376511608,0.723615773,10.81469422,3.639454283,21.3373069
2006,Niger,11.26437278,16.238,3.632442064,70.21202,83.762,3.661873356,2.711020603,8.498589648,4.246026116,30.43498804
2006,Nigeria,163.6827454,39.943,4.960863934,66.56972,60.057,1.324655783,23.22552968,31.50684826,29.30450123,34.81822711
2006,Cameroon,37.12721753,49.143,3.981114363,55.55619,50.857,1.571789399,..,39.27077068,23.62999674,55.45705862
2006,Chad,8.502560356,21.834,3.748923521,88.20191,78.166,3.555419689,5.494082476,10.19211109,5.906008098,25.53641652
2006,Benin,77.09508691,41.049,4.360992201,70.68586,58.951,2.265998659,0.786267821,11.30074001,3.957529746,21.84641892
2007,Niger,11.68675298,16.234,3.656477585,..,83.766,3.685882453,2.919408115,8.995426191,4.592198866,31.71568751
2007,Nigeria,168.2831681,40.819,4.94122191,..,59.181,1.302445148,23.44985151,32.2676934,29.60212037,36.13234484
2007,Cameroon,38.18386749,49.746,4.025833954,..,50.254,1.613523922,..,39.50087116,23.52520945,55.63967386
2007,Chad,8.800555909,21.868,3.600321473,..,78.132,3.401258117,5.465908373,10.27674563,5.873574817,26.00880142
2007,Benin,79.40731642,41.558,4.187437922,..,58.442,2.087927589,0.851201093,11.79830153,4.28723644,22.36092809
2008,Niger,12.12750849,16.229,3.671222685,70.27001,83.771,3.708002337,3.12274206,9.48812752,4.930034576,33.01613285
2008,Nigeria,173.0349199,41.702,4.92467767,64.0572,58.298,1.281257566,23.67278547,33.05207425,29.89833848,37.46089249
2008,Cameroon,39.292708,50.35,4.069441459,52.28699,49.65,1.653408219,..,39.73290932,23.41682847,55.82215455
2008,Chad,9.113958069,21.901,3.650045103,87.07463,78.099,3.456965648,5.43773427,10.36151726,5.841141537,26.48118633
2008,Benin,81.84166371,42.069,4.24170497,70.29258,57.931,2.14137617,0.918415589,12.30711786,4.628574366,22.88083443
2009,Niger,12.58678061,16.225,3.692427214,..,83.775,3.721855823,3.321022438,9.97724247,5.259533243,34.33632406
2009,Nigeria,177.9257815,42.588,4.889651621,..,57.412,1.255863528,23.89433158,33.86028654,30.19315555,38.80387007
2009,Cameroon,40.43488397,50.954,4.057855696,..,49.046,1.641417705,..,39.96663319,23.30485378,56.00450069
2009,Chad,9.445484435,21.934,3.723517885,..,78.066,3.530711405,5.339953728,10.48358506,5.733965858,27.38810543
2009,Benin,84.33330082,42.58,4.2063912,..,57.42,2.113038151,0.987911308,12.82673584,4.981543523,23.40613792
2010,Niger,13.06452593,16.221,3.700722492,70.32799,83.779,3.730119918,3.514249248,10.4624965,5.58069487,35.67626115
2010,Nigeria,182.9692304,43.48,4.868003078,61.54467,56.52,1.229271186,24.11448984,34.69313327,30.4865716,40.16127759
2010,Cameroon,41.60704449,51.559,4.038015008,49.01779,48.441,1.616452634,..,40.20242957,23.1892854,56.18671229
2010,Chad,9.778093234,21.985,3.693031137,85.94735,78.015,3.395416216,5.242898235,10.6144009,5.627624837,28.31025572
2010,Benin,86.88793899,43.093,4.181845722,69.89931,56.907,2.086800117,1.055800454,13.35743186,5.346143911,23.93683858
2011,Niger,13.55986658,16.216,3.690534518,..,83.784,3.727354717,3.70242249,10.94357489,5.893519455,37.03594411
2011,Nigeria,188.1700078,44.366,4.820019186,..,55.634,1.222782582,24.33326024,35.54993987,30.77858661,41.53311503
2011,Cameroon,42.80066849,52.164,3.995005764,..,47.836,1.571615166,..,40.44003965,23.07012332,56.36878934
2011,Chad,10.12944489,22.054,3.843545091,..,77.946,3.441722596,5.146567792,10.7545445,5.522118474,29.2476372
2011,Benin,89.51421603,43.608,4.165819026,..,56.392,2.068722848,1.120339686,13.89912041,5.72237553,24.47293639
2012,Niger,14.08128918,16.212,3.748578535,70.38598,83.788,3.778020042,3.885542165,11.42108661,6.198006999,38.41537295
2012,Nigeria,193.4633607,45.246,4.738315972,59.03215,54.754,1.179818636,24.55064279,36.43093333,31.06920059,42.9193824
2012,Cameroon,44.02176599,52.769,3.966174007,45.74859,47.231,1.540246478,..,40.67952792,22.94736754,56.55073184
2012,Chad,10.49158037,22.142,3.91087673,84.82007,77.858,3.399693696,5.050962398,10.90485537,5.417446769,30.20024985
2012,Benin,92.21050905,44.125,4.14625433,69.50603,55.875,2.04664078,1.18671753,14.4517136,6.11023838,25.01443137
2013,Niger,14.62058735,16.208,3.733693354,..,83.792,3.763146418,4.063608273,11.89472651,6.494157501,39.81454766
2013,Nigeria,198.7872273,46.118,4.623595585,..,53.882,1.109294756,24.76663748,37.33607524,31.35841355,44.3200797
2013,Cameroon,45.27591124,53.373,3.947206028,..,46.627,1.522023077,..,40.92061447,22.82101806,56.73253979
2013,Chad,10.8728391,22.248,4.047062438,..,77.752,3.433241464,4.956082053,11.06571519,5.31360972,31.1680937
2013,Benin,94.97014899,44.642,4.11372218,..,55.358,2.019256559,1.254933987,15.01474407,6.509732462,25.5613235
2014,Niger,15.17005526,16.219,3.757118758,70.44397,83.781,3.676153504,4.236620813,12.36965957,6.781970962,41.23346825
2014,Nigeria,204.109616,46.982,4.498336623,56.51963,53.018,1.025714283,24.98124432,38.26551223,31.64622547,45.73520693
2014,Cameroon,46.6668634,53.976,4.149374814,42.47939,46.024,1.72424171,..,41.16335571,22.69107488,56.91421319
2014,Chad,11.26800985,22.372,4.125800055,83.69279,77.628,3.410376222,4.861926758,11.23774965,5.21060733,32.15116872
2014,Benin,97.81841078,45.166,4.121966988,69.11276,54.834,2.003943353,1.324989056,15.58945707,6.920857774,26.11361279
2015,Niger,15.7412947,16.247,3.868895681,..,83.753,3.662979543,4.404579786,12.84711594,7.061447381,42.67213471
2015,Nigeria,209.3523919,47.838,4.341748348,..,52.162,0.908452075,25.1944633,39.21938255,31.93263636,47.16476409
2015,Cameroon,48.15513528,54.578,4.248478199,..,45.422,1.82270284,..,41.40780378,22.557538,57.09575205
2015,Chad,11.63248173,22.515,3.820524062,..,77.485,2.998977751,4.768496511,11.42187892,5.108439597,33.14947493
2015,Benin,100.7509844,45.695,4.118333989,..,54.305,1.984512167,1.396882736,16.17540036,7.343614318,26.67129924
2016,Niger,16.33042788,16.29,3.938578554,70.44397,83.71,3.622906254,4.567485191,13.32697458,7.33258676,44.13054705
2016,Nigeria,214.5917191,48.683,4.222790935,54.00711,51.317,0.838614948,25.40629443,40.19732734,32.21764622,48.60875118
2016,Cameroon,49.61638425,55.179,4.084486646,39.21019,44.821,1.657357133,..,41.65401211,22.42040743,57.27715636
2016,Chad,12.00337913,22.677,3.85561793,82.56551,77.323,2.929399242,4.675791315,11.61879115,5.007106522,34.16301232
2016,Benin,103.7410607,46.229,4.086441104,68.71948,53.771,1.936403678,1.470615029,16.77249285,7.778002093,27.23438285
2017,Niger,16.9222752,16.35,3.927710767,..,83.65,3.488370127,4.725337029,13.81056598,7.595389097,45.60870526
2017,Nigeria,219.8739298,49.519,4.134364003,..,50.481,0.789203531,25.61673771,41.19971911,32.50125505,50.0671682
2017,Cameroon,51.04313638,55.777,3.91291866,..,44.223,1.491814793,..,41.90133205,22.27968315,57.45842612
2017,Chad,12.40689247,22.858,4.101394995,..,77.142,3.072037835,4.583811167,11.82919278,4.906608104,35.1917809
2017,Benin,106.7735012,46.768,4.040370333,..,53.232,1.873720615,1.546185934,17.38065393,8.224021099,27.80286362
2018,Niger,17.51643562,16.425,3.908550076,70.44397,83.575,3.361180442,4.878135299,14.29777602,7.849854392,47.10660934
2018,Nigeria,225.0170241,50.344,3.964473973,51.49458,49.656,0.6643926,25.82579312,42.22626064,32.78346285,51.54001515
2018,Cameroon,52.47695839,56.374,3.834951846,35.94099,43.626,1.411143912,..,42.15050117,22.13536518,57.63956134
2018,Chad,12.83079018,23.059,4.235052707,82,76.941,3.098663587,4.492556069,12.05411974,4.806944343,36.23578066
2018,Benin,109.8203884,47.312,3.970120607,68.3262,52.688,1.78643971,1.623595452,17.99980309,8.681671337,28.37674155
2019,Niger,18.11617352,16.517,3.925115991,..,83.483,3.256405482,5.025880002,14.79003828,8.095982646,48.6242593
2019,Nigeria,230.0093778,51.157,3.796390324,..,48.843,0.543586791,26.03346069,43.27675278,33.06426961,53.02729203
2019,Cameroon,53.95717247,56.968,3.829810296,..,43.032,1.410715182,..,42.40085801,21.98745351,57.820562
2019,Chad,13.25065359,23.279,4.169474477,..,76.721,2.93356497,4.40202602,12.2940189,4.708115241,37.2950116
2019,Benin,112.8658656,47.861,3.889088578,..,52.139,1.687939924,1.702843581,18.62985459,9.150952805,28.95601664
2020,Niger,18.72393858,16.626,3.957524142,..,83.374,3.169124683,5.168571138,15.28807749,8.333773859,50.16165513
2020,Nigeria,234.9618246,51.958,3.683934182,48.98206,48.042,0.476752107,26.23974039,44.35114641,33.34367535,54.52899883
2020,Cameroon,55.44743712,57.56,3.758304031,32.67179,42.44,1.339215068,..,42.65279948,21.83594813,58.00142812
2020,Chad,13.67906528,23.52,4.211929925,82,76.48,2.86734647,4.312221021,12.55032072,4.610120796,38.36947373
2020,Benin,115.9113959,48.415,3.813467783,67.93293,51.585,1.594370681,1.783930323,19.27072233,9.631865505,29.54068888
2021,Niger,19.3432857,16.751,4.003271756,..,83.249,3.104213665,5.372710663,15.88156173,8.670549746,51.71879684
2021,Nigeria,239.9390472,52.746,3.601410454,..,47.254,0.44235512,26.44463225,45.44915489,33.62168006,56.04513557
2021,Cameroon,56.93926086,58.148,3.671322489,..,41.852,1.259785943,..,42.90563215,21.68084906,58.18215969
2021,Chad,14.15841248,23.781,4.547817705,..,76.219,3.102390225,4.22314107,12.82351803,4.512961008,39.45916704
2021,Benin,118.9554541,48.972,3.736215565,..,51.028,1.506647586,1.783930323,19.38161441,9.631865505,29.54068888
2022,Niger,19.98261072,16.894,4.10178162,..,83.106,3.079781238,5.576850188,16.409657,9.007325633,52.82365645
2022,Nigeria,245.0134458,53.521,3.551433014,..,46.479,0.439145854,26.64813624,46.57067508,33.89828374,57.57570224
2022,Cameroon,58.45607455,58.733,3.630074742,..,41.267,1.221411039,..,43.11916534,21.68084906,58.18215969
2022,Chad,14.65638183,24.063,4.635531581,..,75.937,3.086017191,4.22314107,12.92206644,4.512961008,39.45916704
2022,Benin,122.024663,49.534,3.688459087,..,50.466,1.439952797,1.783930323,19.49350171,9.631865505,29.54068888
2023,Niger,..,17.054,4.237516596,..,82.946,3.10218102,..,..,..,..
2023,Nigeria,..,54.283,3.512089398,..,45.717,0.445351385,..,..,..,..
2023,Cameroon,..,59.315,3.628501592,..,40.685,1.222084982,..,..,..,..
2023,Chad,..,24.366,5.825314969,..,75.634,4.17418211,..,..,..,..
2023,Benin,..,50.1,3.65892111,..,49.9,1.394861015,..,..,..,..
